pair_id,url_a,url_b,page_type_a,page_type_b,locale,primary_intent_a,primary_intent_b,intent_relationship,functional_equivalence,same_outcome,serp_role,differentiated_value,cannibalization_candidate,action,confidence
11,https://funnytools.win/tools/teacher-exam-score-converter/,https://funnytools.win/tools/weighted-average-calculator/,tool,tool,zh-TW,teacher-exam-score-converter,weighted-average-calculator,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
12,https://funnytools.win/tools/normalized-score-converter/,https://funnytools.win/tools/z-score-calculator/,tool,tool,zh-TW,normalized-score-converter,z-score-calculator,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
13,https://funnytools.win/tools/jpg-to-png/,https://funnytools.win/tools/webp-to-jpg/,tool,tool,zh-TW,jpg-to-png,webp-to-jpg,DIFFERENT,NO,no,different or adjacent role,directional converter inputs/outputs differ,no,REVIEW_ONLY,LOW
14,https://funnytools.win/tools/business-days/,https://funnytools.win/tools/date-difference/,tool,tool,zh-TW,business-days,date-difference,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
15,https://funnytools.win/es/categorias/estadistica/,https://funnytools.win/es/estadisticas-educativas/,category,other,es,estadistica,estadisticas-educativas,ADJACENT,UNKNOWN,no,different or adjacent role,topic-adjacent pages with different page roles,no,REVIEW_ONLY,LOW
16,https://funnytools.win/en/tools/jpg-to-webp/,https://funnytools.win/en/tools/webp-to-jpg/,tool,tool,en,jpg-to-webp,webp-to-jpg,DIFFERENT,NO,no,different or adjacent role,directional converter inputs/outputs differ,no,REVIEW_ONLY,LOW
17,https://funnytools.win/tools/jpg-to-png/,https://funnytools.win/tools/jpg-to-webp/,tool,tool,zh-TW,jpg-to-png,jpg-to-webp,DIFFERENT,NO,no,different or adjacent role,directional converter inputs/outputs differ,no,REVIEW_ONLY,LOW
18,https://funnytools.win/tools/grade-average/,https://funnytools.win/tools/weighted-average-calculator/,tool,tool,zh-TW,grade-average,weighted-average-calculator,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
19,https://funnytools.win/fr/,https://funnytools.win/fr/outils/,home,hub,fr,fr,outils,ADJACENT,UNKNOWN,no,different or adjacent role,topic-adjacent pages with different page roles,no,REVIEW_ONLY,LOW
20,https://funnytools.win/tools/remove-duplicate-lines/,https://funnytools.win/tools/sort-lines/,tool,tool,zh-TW,remove-duplicate-lines,sort-lines,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
21,https://funnytools.win/tools/jpg-to-webp/,https://funnytools.win/tools/png-to-jpg/,tool,tool,zh-TW,jpg-to-webp,png-to-jpg,DIFFERENT,NO,no,different or adjacent role,directional converter inputs/outputs differ,no,REVIEW_ONLY,LOW
22,https://funnytools.win/category/statistics/,https://funnytools.win/education-statistics/,category,other,zh-TW,statistics,education-statistics,ADJACENT,UNKNOWN,no,different or adjacent role,topic-adjacent pages with different page roles,no,REVIEW_ONLY,LOW
23,https://funnytools.win/for/creators/,https://funnytools.win/workflows/creator-social-toolkit/,audience,workflow,zh-TW,creators,creator-social-toolkit,UNKNOWN,UNKNOWN,no,different or adjacent role,page roles cannot be deterministically compared,no,REVIEW_ONLY,LOW
24,https://funnytools.win/es/herramientas/convertir-jpg-a-png/,https://funnytools.win/es/herramientas/convertir-png-a-jpg/,tool,tool,es,jpg-to-png,png-to-jpg,DIFFERENT,NO,no,different or adjacent role,directional converter inputs/outputs differ,no,REVIEW_ONLY,LOW
25,https://funnytools.win/es/categorias/pdf/,https://funnytools.win/es/guias/unir-pdf-sin-subir-archivos/,category,guide,es,pdf,unir-pdf-sin-subir-archivos,ADJACENT,UNKNOWN,no,different or adjacent role,topic-adjacent pages with different page roles,no,REVIEW_ONLY,LOW
26,https://funnytools.win/en/tools/delete-pdf-pages/,https://funnytools.win/en/tools/extract-pdf-pages/,tool,tool,en,delete-pdf-pages,extract-pdf-pages,DIFFERENT,NO,no,different or adjacent role,document operation outcome differs even when source format overlaps,no,REVIEW_ONLY,LOW
27,https://funnytools.win/tools/extract-pdf-pages/,https://funnytools.win/tools/pdf-page-reorder/,tool,tool,zh-TW,extract-pdf-pages,pdf-page-reorder,DIFFERENT,NO,no,different or adjacent role,document operation outcome differs even when source format overlaps,no,REVIEW_ONLY,LOW
28,https://funnytools.win/en/tools/jpg-to-png/,https://funnytools.win/en/tools/png-to-jpg/,tool,tool,en,jpg-to-png,png-to-jpg,DIFFERENT,NO,no,different or adjacent role,directional converter inputs/outputs differ,no,REVIEW_ONLY,LOW
29,https://funnytools.win/es/herramientas/,https://funnytools.win/es/,hub,home,es,herramientas,es,ADJACENT,UNKNOWN,no,different or adjacent role,topic-adjacent pages with different page roles,no,REVIEW_ONLY,LOW
30,https://funnytools.win/es/flujos/entrega-informe-estudiantil/,https://funnytools.win/es/para/estudiantes/,workflow,audience,es,entrega-informe-estudiantil,estudiantes,UNKNOWN,UNKNOWN,no,different or adjacent role,page roles cannot be deterministically compared,no,REVIEW_ONLY,LOW
31,https://funnytools.win/tools/remove-duplicate-lines/,https://funnytools.win/tools/remove-empty-lines/,tool,tool,zh-TW,remove-duplicate-lines,remove-empty-lines,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
32,https://funnytools.win/guides/classroom-random-group-absent-student-repair-guide/,https://funnytools.win/guides/classroom-random-group-size-balance-guide/,guide,guide,zh-TW,classroom-random-group-absent-student-repair-guide,classroom-random-group-size-balance-guide,ADJACENT,NO,no,different or adjacent role,related learning topics; answer role may differ,no,REVIEW_ONLY,LOW
33,https://funnytools.win/tools/t-score-calculator/,https://funnytools.win/tools/z-score-calculator/,tool,tool,zh-TW,t-score-calculator,z-score-calculator,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
34,https://funnytools.win/tools/image-compressor/,https://funnytools.win/tools/jpg-to-webp/,tool,tool,zh-TW,image-compressor,jpg-to-webp,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
35,https://funnytools.win/tools/random-name-picker/,https://funnytools.win/tools/random-student-picker/,tool,tool,zh-TW,random-name-picker,random-student-picker,DIFFERENT,NO,no,different or adjacent role,different functional category,no,REVIEW_ONLY,LOW
36,https://funnytools.win/es/herramientas/convertir-jpg-a-webp/,https://funnytools.win/es/herramientas/convertir-webp-a-jpg/,tool,tool,es,jpg-to-webp,webp-to-jpg,DIFFERENT,NO,no,different or adjacent role,directional converter inputs/outputs differ,no,REVIEW_ONLY,LOW
37,https://funnytools.win/guides/teacher-exam-weighted-score-guide/,https://funnytools.win/tools/teacher-exam-score-converter/,guide,tool,zh-TW,teacher-exam-weighted-score-guide,teacher-exam-score-converter,COMPLEMENTARY,NO,no,different DO/LEARN role,tool is DO intent; guide is LEARN intent; keep both by default,no,REVIEW_ONLY,LOW
38,https://funnytools.win/tools/remove-empty-lines/,https://funnytools.win/tools/sort-lines/,tool,tool,zh-TW,remove-empty-lines,sort-lines,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
39,https://funnytools.win/en/tools/png-to-jpg/,https://funnytools.win/en/tools/webp-to-jpg/,tool,tool,en,png-to-jpg,webp-to-jpg,DIFFERENT,NO,no,different or adjacent role,directional converter inputs/outputs differ,no,REVIEW_ONLY,LOW
40,https://funnytools.win/es/guias/prueba-levene-spss/,https://funnytools.win/es/herramientas/interpretar-resultados-spss/,guide,tool,es,prueba-levene-spss,spss-result-interpreter,COMPLEMENTARY,NO,no,different DO/LEARN role,tool is DO intent; guide is LEARN intent; keep both by default,no,REVIEW_ONLY,LOW
41,https://funnytools.win/es/guias/rango-percentil-interpretacion/,https://funnytools.win/es/herramientas/calculadora-rango-percentil/,guide,tool,es,rango-percentil-interpretacion,percentile-rank-calculator,COMPLEMENTARY,NO,no,different DO/LEARN role,tool is DO intent; guide is LEARN intent; keep both by default,no,REVIEW_ONLY,LOW
42,https://funnytools.win/es/herramientas/convertir-png-a-jpg/,https://funnytools.win/es/herramientas/convertir-webp-a-jpg/,tool,tool,es,png-to-jpg,webp-to-jpg,DIFFERENT,NO,no,different or adjacent role,directional converter inputs/outputs differ,no,REVIEW_ONLY,LOW
43,https://funnytools.win/fr/outils/convertir-jpg-en-png/,https://funnytools.win/fr/outils/convertir-png-en-jpg/,tool,tool,fr,jpg-to-png,png-to-jpg,DIFFERENT,NO,no,different or adjacent role,directional converter inputs/outputs differ,no,REVIEW_ONLY,LOW
44,https://funnytools.win/tools/extract-pdf-pages/,https://funnytools.win/tools/split-pdf/,tool,tool,zh-TW,extract-pdf-pages,split-pdf,DIFFERENT,NO,no,different or adjacent role,document operation outcome differs even when source format overlaps,no,REVIEW_ONLY,LOW
45,https://funnytools.win/guides/classroom-random-group-guide/,https://funnytools.win/tools/group-generator/,guide,tool,zh-TW,classroom-random-group-guide,group-generator,COMPLEMENTARY,NO,no,different DO/LEARN role,tool is DO intent; guide is LEARN intent; keep both by default,no,REVIEW_ONLY,LOW
46,https://funnytools.win/es/como-funcionan-las-herramientas/,https://funnytools.win/es/sobre-funnytools/,legal,legal,es,como-funcionan-las-herramientas,sobre-funnytools,ADJACENT,UNKNOWN,no,different or adjacent role,topic-adjacent pages with different page roles,no,REVIEW_ONLY,LOW
47,https://funnytools.win/es/herramientas/eliminar-paginas-pdf/,https://funnytools.win/es/herramientas/extraer-paginas-pdf/,tool,tool,es,delete-pdf-pages,extract-pdf-pages,DIFFERENT,NO,no,different or adjacent role,document operation outcome differs even when source format overlaps,no,REVIEW_ONLY,LOW
48,https://funnytools.win/for/office-workers/,https://funnytools.win/workflows/office-document-toolkit/,audience,workflow,zh-TW,office-workers,office-document-toolkit,UNKNOWN,UNKNOWN,no,different or adjacent role,page roles cannot be deterministically compared,no,REVIEW_ONLY,LOW
49,https://funnytools.win/guides/z-score-calculator-guide/,https://funnytools.win/tools/z-score-calculator/,guide,tool,zh-TW,z-score-calculator-guide,z-score-calculator,COMPLEMENTARY,NO,no,different DO/LEARN role,tool is DO intent; guide is LEARN intent; keep both by default,no,REVIEW_ONLY,LOW
50,https://funnytools.win/es/herramientas/comprimir-imagenes/,https://funnytools.win/es/herramientas/convertir-png-a-jpg/,tool,tool,es,image-compressor,png-to-jpg,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
51,https://funnytools.win/en/guides/t-score-calculator-guide/,https://funnytools.win/en/tools/t-score-calculator/,guide,tool,en,t-score-calculator-guide,t-score-calculator,COMPLEMENTARY,NO,no,different DO/LEARN role,tool is DO intent; guide is LEARN intent; keep both by default,no,REVIEW_ONLY,LOW
52,https://funnytools.win/tools/pdf-page-reorder/,https://funnytools.win/tools/split-pdf/,tool,tool,zh-TW,pdf-page-reorder,split-pdf,DIFFERENT,NO,no,different or adjacent role,document operation outcome differs even when source format overlaps,no,REVIEW_ONLY,LOW
53,https://funnytools.win/tools/spss-result-interpreter/,https://funnytools.win/workflows/graduate-statistics-report-toolkit/,tool,workflow,zh-TW,spss-result-interpreter,graduate-statistics-report-toolkit,ADJACENT,UNKNOWN,no,different or adjacent role,topic-adjacent pages with different page roles,no,REVIEW_ONLY,LOW
54,https://funnytools.win/es/categorias/imagen/,https://funnytools.win/es/guias/comprimir-fotos-para-email/,category,guide,es,imagen,comprimir-fotos-para-email,ADJACENT,UNKNOWN,no,different or adjacent role,topic-adjacent pages with different page roles,no,REVIEW_ONLY,LOW
55,https://funnytools.win/fr/outils/generateur-groupes-aleatoires/,https://funnytools.win/fr/outils/generateur-groupes-classe/,tool,tool,fr,random-group-generator,group-generator,DIFFERENT,NO,no,different or adjacent role,different functional category,no,REVIEW_ONLY,LOW
56,https://funnytools.win/tools/image-compressor/,https://funnytools.win/tools/image-resizer/,tool,tool,zh-TW,image-compressor,image-resizer,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
57,https://funnytools.win/tools/percentile-rank-calculator/,https://funnytools.win/tools/z-score-calculator/,tool,tool,zh-TW,percentile-rank-calculator,z-score-calculator,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
58,https://funnytools.win/tools/apa-7-report-generator/,https://funnytools.win/workflows/graduate-statistics-report-toolkit/,tool,workflow,zh-TW,apa-7-report-generator,graduate-statistics-report-toolkit,ADJACENT,UNKNOWN,no,different or adjacent role,topic-adjacent pages with different page roles,no,REVIEW_ONLY,LOW
59,https://funnytools.win/es/guias/anova-formato-apa-7/,https://funnytools.win/es/herramientas/interpretar-resultados-spss/,guide,tool,es,anova-formato-apa-7,spss-result-interpreter,COMPLEMENTARY,NO,no,different DO/LEARN role,tool is DO intent; guide is LEARN intent; keep both by default,no,REVIEW_ONLY,LOW
60,https://funnytools.win/es/guias/puntuacion-t-interpretacion/,https://funnytools.win/es/herramientas/calculadora-puntuacion-t/,guide,tool,es,puntuacion-t-interpretacion,t-score-calculator,COMPLEMENTARY,NO,no,different DO/LEARN role,tool is DO intent; guide is LEARN intent; keep both by default,no,REVIEW_ONLY,LOW
61,https://funnytools.win/es/herramientas/comprimir-imagenes/,https://funnytools.win/es/herramientas/convertir-jpg-a-webp/,tool,tool,es,image-compressor,jpg-to-webp,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
62,https://funnytools.win/es/herramientas/convertir-csv-a-json/,https://funnytools.win/es/herramientas/convertir-json-a-csv/,tool,tool,es,csv-to-json,json-to-csv,DIFFERENT,NO,no,different or adjacent role,directional converter inputs/outputs differ,no,REVIEW_ONLY,LOW
63,https://funnytools.win/guides/classroom-random-picker-guide/,https://funnytools.win/workflows/teacher-classroom-random-toolkit/,guide,workflow,zh-TW,classroom-random-picker-guide,teacher-classroom-random-toolkit,ADJACENT,UNKNOWN,no,different or adjacent role,topic-adjacent pages with different page roles,no,REVIEW_ONLY,LOW
64,https://funnytools.win/fr/outils/convertir-csv-en-json/,https://funnytools.win/fr/outils/convertir-json-en-csv/,tool,tool,fr,csv-to-json,json-to-csv,DIFFERENT,NO,no,different or adjacent role,directional converter inputs/outputs differ,no,REVIEW_ONLY,LOW
65,https://funnytools.win/guides/t-score-calculator-guide/,https://funnytools.win/guides/z-score-calculator-guide/,guide,guide,zh-TW,t-score-calculator-guide,z-score-calculator-guide,ADJACENT,NO,no,different or adjacent role,related learning topics; answer role may differ,no,REVIEW_ONLY,LOW
66,https://funnytools.win/guides/z-score-calculator-guide/,https://funnytools.win/tools/t-score-calculator/,guide,tool,zh-TW,z-score-calculator-guide,t-score-calculator,COMPLEMENTARY,NO,no,different DO/LEARN role,tool is DO intent; guide is LEARN intent; keep both by default,no,REVIEW_ONLY,LOW
67,https://funnytools.win/guides/teacher-exam-weighted-score-guide/,https://funnytools.win/workflows/teacher-exam-score-toolkit/,guide,workflow,zh-TW,teacher-exam-weighted-score-guide,teacher-exam-score-toolkit,ADJACENT,UNKNOWN,no,different or adjacent role,topic-adjacent pages with different page roles,no,REVIEW_ONLY,LOW
68,https://funnytools.win/tools/delete-pdf-pages/,https://funnytools.win/tools/pdf-page-reorder/,tool,tool,zh-TW,delete-pdf-pages,pdf-page-reorder,DIFFERENT,NO,no,different or adjacent role,document operation outcome differs even when source format overlaps,no,REVIEW_ONLY,LOW
69,https://funnytools.win/tools/grade-average/,https://funnytools.win/tools/teacher-exam-score-converter/,tool,tool,zh-TW,grade-average,teacher-exam-score-converter,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
70,https://funnytools.win/es/herramientas/recordatorio-descansos/,https://funnytools.win/es/herramientas/temporizador-pomodoro/,tool,tool,es,break-reminder,pomodoro-timer,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
71,https://funnytools.win/guides/t-score-calculator-guide/,https://funnytools.win/workflows/teacher-exam-score-toolkit/,guide,workflow,zh-TW,t-score-calculator-guide,teacher-exam-score-toolkit,ADJACENT,UNKNOWN,no,different or adjacent role,topic-adjacent pages with different page roles,no,REVIEW_ONLY,LOW
72,https://funnytools.win/tools/bar-chart-maker/,https://funnytools.win/tools/pie-chart-maker/,tool,tool,zh-TW,bar-chart-maker,pie-chart-maker,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
73,https://funnytools.win/es/aviso-legal/,https://funnytools.win/es/sobre-funnytools/,other,legal,es,aviso-legal,sobre-funnytools,ADJACENT,UNKNOWN,no,different or adjacent role,topic-adjacent pages with different page roles,no,REVIEW_ONLY,LOW
74,https://funnytools.win/fr/outils/convertir-png-en-jpg/,https://funnytools.win/fr/outils/convertir-webp-en-jpg/,tool,tool,fr,png-to-jpg,webp-to-jpg,DIFFERENT,NO,no,different or adjacent role,directional converter inputs/outputs differ,no,REVIEW_ONLY,LOW
75,https://funnytools.win/guides/t-score-calculator-guide/,https://funnytools.win/tools/z-score-calculator/,guide,tool,zh-TW,t-score-calculator-guide,z-score-calculator,COMPLEMENTARY,NO,no,different DO/LEARN role,tool is DO intent; guide is LEARN intent; keep both by default,no,REVIEW_ONLY,LOW
76,https://funnytools.win/en/tools/jpg-to-webp/,https://funnytools.win/en/tools/png-to-jpg/,tool,tool,en,jpg-to-webp,png-to-jpg,DIFFERENT,NO,no,different or adjacent role,directional converter inputs/outputs differ,no,REVIEW_ONLY,LOW
77,https://funnytools.win/es/categorias/estudio/,https://funnytools.win/es/para/docentes/,category,audience,es,estudio,docentes,UNKNOWN,UNKNOWN,no,different or adjacent role,page roles cannot be deterministically compared,no,REVIEW_ONLY,LOW
78,https://funnytools.win/es/categorias/imagen/,https://funnytools.win/es/para/disenadores/,category,audience,es,imagen,disenadores,UNKNOWN,UNKNOWN,no,different or adjacent role,page roles cannot be deterministically compared,no,REVIEW_ONLY,LOW
79,https://funnytools.win/es/aviso-legal/,https://funnytools.win/es/condiciones-de-uso/,other,legal,es,aviso-legal,condiciones-de-uso,ADJACENT,UNKNOWN,no,different or adjacent role,topic-adjacent pages with different page roles,no,REVIEW_ONLY,LOW
80,https://funnytools.win/es/guias/unir-pdf-sin-subir-archivos/,https://funnytools.win/es/herramientas/unir-pdf/,guide,tool,es,unir-pdf-sin-subir-archivos,merge-pdf,COMPLEMENTARY,NO,no,different DO/LEARN role,tool is DO intent; guide is LEARN intent; keep both by default,no,REVIEW_ONLY,LOW
81,https://funnytools.win/es/contacto/,https://funnytools.win/es/sobre-funnytools/,legal,legal,es,contacto,sobre-funnytools,ADJACENT,UNKNOWN,no,different or adjacent role,topic-adjacent pages with different page roles,no,REVIEW_ONLY,LOW
82,https://funnytools.win/es/flujos/contenido-redes-sociales/,https://funnytools.win/es/para/creadores/,workflow,audience,es,contenido-redes-sociales,creadores,UNKNOWN,UNKNOWN,no,different or adjacent role,page roles cannot be deterministically compared,no,REVIEW_ONLY,LOW
83,https://funnytools.win/guides/classroom-random-group-guide/,https://funnytools.win/workflows/teacher-classroom-random-toolkit/,guide,workflow,zh-TW,classroom-random-group-guide,teacher-classroom-random-toolkit,ADJACENT,UNKNOWN,no,different or adjacent role,topic-adjacent pages with different page roles,no,REVIEW_ONLY,LOW
84,https://funnytools.win/find-tools/,https://funnytools.win/,other,home,zh-TW,find-tools,funnytools.win,ADJACENT,UNKNOWN,no,different or adjacent role,topic-adjacent pages with different page roles,no,REVIEW_ONLY,LOW
85,https://funnytools.win/guides/classroom-random-group-guide/,https://funnytools.win/tools/random-group-generator/,guide,tool,zh-TW,classroom-random-group-guide,random-group-generator,COMPLEMENTARY,NO,no,different DO/LEARN role,tool is DO intent; guide is LEARN intent; keep both by default,no,REVIEW_ONLY,LOW
86,https://funnytools.win/tools/normalized-score-converter/,https://funnytools.win/tools/standard-deviation/,tool,tool,zh-TW,normalized-score-converter,standard-deviation,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
87,https://funnytools.win/es/aviso-legal/,https://funnytools.win/es/contacto/,other,legal,es,aviso-legal,contacto,ADJACENT,UNKNOWN,no,different or adjacent role,topic-adjacent pages with different page roles,no,REVIEW_ONLY,LOW
88,https://funnytools.win/fr/outils/minuteur-pomodoro/,https://funnytools.win/fr/outils/rappel-pause-ecran/,tool,tool,fr,pomodoro-timer,break-reminder,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
89,https://funnytools.win/guides/business-days-calendar-days-guide/,https://funnytools.win/tools/business-days/,guide,tool,zh-TW,business-days-calendar-days-guide,business-days,COMPLEMENTARY,NO,no,different DO/LEARN role,tool is DO intent; guide is LEARN intent; keep both by default,no,REVIEW_ONLY,LOW
90,https://funnytools.win/es/flujos/,https://funnytools.win/es/guias/,hub,hub,es,flujos,guias,ADJACENT,UNKNOWN,no,different or adjacent role,shared hierarchy vocabulary does not prove redundant page role,no,REVIEW_ONLY,LOW
91,https://funnytools.win/guides/classroom-random-group-size-balance-guide/,https://funnytools.win/guides/fair-student-grouping-guide/,guide,guide,zh-TW,classroom-random-group-size-balance-guide,fair-student-grouping-guide,ADJACENT,NO,no,different or adjacent role,related learning topics; answer role may differ,no,REVIEW_ONLY,LOW
92,https://funnytools.win/fr/outils/compresser-image/,https://funnytools.win/fr/outils/redimensionner-image/,tool,tool,fr,image-compressor,image-resizer,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
93,https://funnytools.win/guides/classroom-lottery-tool-guide/,https://funnytools.win/guides/classroom-random-picker-guide/,guide,guide,zh-TW,classroom-lottery-tool-guide,classroom-random-picker-guide,ADJACENT,NO,no,different or adjacent role,related learning topics; answer role may differ,no,REVIEW_ONLY,LOW
94,https://funnytools.win/tools/random-group-generator/,https://funnytools.win/workflows/teacher-classroom-random-toolkit/,tool,workflow,zh-TW,random-group-generator,teacher-classroom-random-toolkit,ADJACENT,UNKNOWN,no,different or adjacent role,topic-adjacent pages with different page roles,no,REVIEW_ONLY,LOW
95,https://funnytools.win/es/guias/contrasena-segura-fuerte/,https://funnytools.win/es/herramientas/generador-contrasenas-seguras/,guide,tool,es,contrasena-segura-fuerte,password-generator,COMPLEMENTARY,NO,no,different DO/LEARN role,tool is DO intent; guide is LEARN intent; keep both by default,no,REVIEW_ONLY,LOW
96,https://funnytools.win/fr/outils/compresser-image/,https://funnytools.win/fr/outils/convertir-png-en-jpg/,tool,tool,fr,image-compressor,png-to-jpg,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
97,https://funnytools.win/fr/outils/convertir-jpg-en-webp/,https://funnytools.win/fr/outils/convertir-webp-en-jpg/,tool,tool,fr,jpg-to-webp,webp-to-jpg,DIFFERENT,NO,no,different or adjacent role,directional converter inputs/outputs differ,no,REVIEW_ONLY,LOW
98,https://funnytools.win/guides/fair-student-grouping-guide/,https://funnytools.win/tools/group-generator/,guide,tool,zh-TW,fair-student-grouping-guide,group-generator,COMPLEMENTARY,NO,no,different DO/LEARN role,tool is DO intent; guide is LEARN intent; keep both by default,no,REVIEW_ONLY,LOW
99,https://funnytools.win/guides/fair-student-grouping-guide/,https://funnytools.win/tools/random-group-generator/,guide,tool,zh-TW,fair-student-grouping-guide,random-group-generator,COMPLEMENTARY,NO,no,different DO/LEARN role,tool is DO intent; guide is LEARN intent; keep both by default,no,REVIEW_ONLY,LOW
100,https://funnytools.win/guides/split-pdf-page-range-planning-guide/,https://funnytools.win/tools/pdf-page-reorder/,guide,tool,zh-TW,split-pdf-page-range-planning-guide,pdf-page-reorder,COMPLEMENTARY,NO,no,different DO/LEARN role,tool is DO intent; guide is LEARN intent; keep both by default,no,REVIEW_ONLY,LOW
101,https://funnytools.win/tools/case-converter/,https://funnytools.win/tools/word-counter/,tool,tool,zh-TW,case-converter,word-counter,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
102,https://funnytools.win/tools/character-counter/,https://funnytools.win/tools/word-counter/,tool,tool,zh-TW,character-counter,word-counter,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
103,https://funnytools.win/tools/image-resizer/,https://funnytools.win/tools/jpg-to-webp/,tool,tool,zh-TW,image-resizer,jpg-to-webp,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
104,https://funnytools.win/en/tools/t-score-calculator/,https://funnytools.win/en/tools/z-score-calculator/,tool,tool,en,t-score-calculator,z-score-calculator,ADJACENT,NO,no,different or adjacent role,related topic but functional input/computation/output differs,no,REVIEW_ONLY,LOW
