pair_id,url_a,url_b,page_type_a,page_type_b,locale,cluster_a,cluster_b,tool_slug_a,tool_slug_b,raw_main_similarity,boilerplate_adjusted_similarity,original_same_search_intent,intent_relationship,functional_equivalence,merge_confidence,merge_reason
16,https://funnytools.win/en/tools/jpg-to-webp/,https://funnytools.win/en/tools/webp-to-jpg/,tool,tool,en,image,image,jpg-to-webp,webp-to-jpg,0.898,0.839,yes,DIFFERENT,NO,LOW,directional converter inputs/outputs differ
17,https://funnytools.win/tools/jpg-to-png/,https://funnytools.win/tools/jpg-to-webp/,tool,tool,zh-TW,image,image,jpg-to-png,jpg-to-webp,0.898,0.800,yes,DIFFERENT,NO,LOW,directional converter inputs/outputs differ
18,https://funnytools.win/tools/grade-average/,https://funnytools.win/tools/weighted-average-calculator/,tool,tool,zh-TW,statistics,statistics,grade-average,weighted-average-calculator,0.895,0.798,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
19,https://funnytools.win/fr/,https://funnytools.win/fr/outils/,home,hub,fr,general,general,,,0.894,0.849,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
20,https://funnytools.win/tools/remove-duplicate-lines/,https://funnytools.win/tools/sort-lines/,tool,tool,zh-TW,text,text,remove-duplicate-lines,sort-lines,0.894,0.654,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
21,https://funnytools.win/tools/jpg-to-webp/,https://funnytools.win/tools/png-to-jpg/,tool,tool,zh-TW,image,image,jpg-to-webp,png-to-jpg,0.892,0.759,yes,DIFFERENT,NO,LOW,directional converter inputs/outputs differ
22,https://funnytools.win/category/statistics/,https://funnytools.win/education-statistics/,category,other,zh-TW,statistics,statistics,,,0.891,0.715,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
23,https://funnytools.win/for/creators/,https://funnytools.win/workflows/creator-social-toolkit/,audience,workflow,zh-TW,creators,general,,,0.891,0.797,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
24,https://funnytools.win/es/herramientas/convertir-jpg-a-png/,https://funnytools.win/es/herramientas/convertir-png-a-jpg/,tool,tool,es,image,image,jpg-to-png,png-to-jpg,0.889,0.881,yes,DIFFERENT,NO,LOW,directional converter inputs/outputs differ
25,https://funnytools.win/es/categorias/pdf/,https://funnytools.win/es/guias/unir-pdf-sin-subir-archivos/,category,guide,es,pdf,pdf,,,0.888,0.875,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
26,https://funnytools.win/en/tools/delete-pdf-pages/,https://funnytools.win/en/tools/extract-pdf-pages/,tool,tool,en,pdf,pdf,delete-pdf-pages,extract-pdf-pages,0.887,0.803,yes,DIFFERENT,NO,LOW,document operation outcome differs even when source format overlaps
27,https://funnytools.win/tools/extract-pdf-pages/,https://funnytools.win/tools/pdf-page-reorder/,tool,tool,zh-TW,pdf,pdf,extract-pdf-pages,pdf-page-reorder,0.887,0.709,yes,DIFFERENT,NO,LOW,document operation outcome differs even when source format overlaps
28,https://funnytools.win/en/tools/jpg-to-png/,https://funnytools.win/en/tools/png-to-jpg/,tool,tool,en,image,image,jpg-to-png,png-to-jpg,0.885,0.841,yes,DIFFERENT,NO,LOW,directional converter inputs/outputs differ
29,https://funnytools.win/es/herramientas/,https://funnytools.win/es/,hub,home,es,general,general,,,0.885,0.884,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
30,https://funnytools.win/es/flujos/entrega-informe-estudiantil/,https://funnytools.win/es/para/estudiantes/,workflow,audience,es,general,students,,,0.883,0.867,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
31,https://funnytools.win/tools/remove-duplicate-lines/,https://funnytools.win/tools/remove-empty-lines/,tool,tool,zh-TW,text,text,remove-duplicate-lines,remove-empty-lines,0.883,0.695,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
32,https://funnytools.win/guides/classroom-random-group-absent-student-repair-guide/,https://funnytools.win/guides/classroom-random-group-size-balance-guide/,guide,guide,zh-TW,random,random,,,0.882,0.807,yes,ADJACENT,NO,LOW,related learning topics; answer role may differ
33,https://funnytools.win/tools/t-score-calculator/,https://funnytools.win/tools/z-score-calculator/,tool,tool,zh-TW,statistics,statistics,t-score-calculator,z-score-calculator,0.882,0.804,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
34,https://funnytools.win/tools/image-compressor/,https://funnytools.win/tools/jpg-to-webp/,tool,tool,zh-TW,image,image,image-compressor,jpg-to-webp,0.881,0.686,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
35,https://funnytools.win/tools/random-name-picker/,https://funnytools.win/tools/random-student-picker/,tool,tool,zh-TW,random,study,random-name-picker,random-student-picker,0.881,0.780,no,DIFFERENT,NO,LOW,different functional category
36,https://funnytools.win/es/herramientas/convertir-jpg-a-webp/,https://funnytools.win/es/herramientas/convertir-webp-a-jpg/,tool,tool,es,image,image,jpg-to-webp,webp-to-jpg,0.880,0.876,yes,DIFFERENT,NO,LOW,directional converter inputs/outputs differ
37,https://funnytools.win/guides/teacher-exam-weighted-score-guide/,https://funnytools.win/tools/teacher-exam-score-converter/,guide,tool,zh-TW,statistics,statistics,,teacher-exam-score-converter,0.879,0.787,yes,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
38,https://funnytools.win/tools/remove-empty-lines/,https://funnytools.win/tools/sort-lines/,tool,tool,zh-TW,text,text,remove-empty-lines,sort-lines,0.879,0.612,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
39,https://funnytools.win/en/tools/png-to-jpg/,https://funnytools.win/en/tools/webp-to-jpg/,tool,tool,en,image,image,png-to-jpg,webp-to-jpg,0.878,0.764,yes,DIFFERENT,NO,LOW,directional converter inputs/outputs differ
40,https://funnytools.win/es/guias/prueba-levene-spss/,https://funnytools.win/es/herramientas/interpretar-resultados-spss/,guide,tool,es,statistics,statistics,,spss-result-interpreter,0.877,0.880,yes,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
41,https://funnytools.win/es/guias/rango-percentil-interpretacion/,https://funnytools.win/es/herramientas/calculadora-rango-percentil/,guide,tool,es,statistics,statistics,,percentile-rank-calculator,0.876,0.875,yes,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
42,https://funnytools.win/es/herramientas/convertir-png-a-jpg/,https://funnytools.win/es/herramientas/convertir-webp-a-jpg/,tool,tool,es,image,image,png-to-jpg,webp-to-jpg,0.875,0.865,yes,DIFFERENT,NO,LOW,directional converter inputs/outputs differ
43,https://funnytools.win/fr/outils/convertir-jpg-en-png/,https://funnytools.win/fr/outils/convertir-png-en-jpg/,tool,tool,fr,image,image,jpg-to-png,png-to-jpg,0.874,0.864,yes,DIFFERENT,NO,LOW,directional converter inputs/outputs differ
44,https://funnytools.win/tools/extract-pdf-pages/,https://funnytools.win/tools/split-pdf/,tool,tool,zh-TW,pdf,pdf,extract-pdf-pages,split-pdf,0.874,0.744,yes,DIFFERENT,NO,LOW,document operation outcome differs even when source format overlaps
45,https://funnytools.win/guides/classroom-random-group-guide/,https://funnytools.win/tools/group-generator/,guide,tool,zh-TW,random,study,,group-generator,0.873,0.751,no,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
46,https://funnytools.win/es/como-funcionan-las-herramientas/,https://funnytools.win/es/sobre-funnytools/,legal,legal,es,general,general,,,0.872,0.870,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
47,https://funnytools.win/es/herramientas/eliminar-paginas-pdf/,https://funnytools.win/es/herramientas/extraer-paginas-pdf/,tool,tool,es,pdf,pdf,delete-pdf-pages,extract-pdf-pages,0.872,0.871,yes,DIFFERENT,NO,LOW,document operation outcome differs even when source format overlaps
48,https://funnytools.win/for/office-workers/,https://funnytools.win/workflows/office-document-toolkit/,audience,workflow,zh-TW,office-workers,pdf,,,0.872,0.807,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
49,https://funnytools.win/guides/z-score-calculator-guide/,https://funnytools.win/tools/z-score-calculator/,guide,tool,zh-TW,statistics,statistics,,z-score-calculator,0.872,0.769,yes,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
50,https://funnytools.win/es/herramientas/comprimir-imagenes/,https://funnytools.win/es/herramientas/convertir-png-a-jpg/,tool,tool,es,image,image,image-compressor,png-to-jpg,0.871,0.869,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
51,https://funnytools.win/en/guides/t-score-calculator-guide/,https://funnytools.win/en/tools/t-score-calculator/,guide,tool,en,statistics,statistics,,t-score-calculator,0.870,0.815,yes,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
52,https://funnytools.win/tools/pdf-page-reorder/,https://funnytools.win/tools/split-pdf/,tool,tool,zh-TW,pdf,pdf,pdf-page-reorder,split-pdf,0.870,0.727,yes,DIFFERENT,NO,LOW,document operation outcome differs even when source format overlaps
53,https://funnytools.win/tools/spss-result-interpreter/,https://funnytools.win/workflows/graduate-statistics-report-toolkit/,tool,workflow,zh-TW,statistics,statistics,spss-result-interpreter,,0.870,0.563,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
54,https://funnytools.win/es/categorias/imagen/,https://funnytools.win/es/guias/comprimir-fotos-para-email/,category,guide,es,image,image,,,0.869,0.860,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
55,https://funnytools.win/fr/outils/generateur-groupes-aleatoires/,https://funnytools.win/fr/outils/generateur-groupes-classe/,tool,tool,fr,random,study,random-group-generator,group-generator,0.869,0.862,no,DIFFERENT,NO,LOW,different functional category
56,https://funnytools.win/tools/image-compressor/,https://funnytools.win/tools/image-resizer/,tool,tool,zh-TW,image,image,image-compressor,image-resizer,0.869,0.672,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
57,https://funnytools.win/tools/percentile-rank-calculator/,https://funnytools.win/tools/z-score-calculator/,tool,tool,zh-TW,statistics,statistics,percentile-rank-calculator,z-score-calculator,0.869,0.602,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
58,https://funnytools.win/tools/apa-7-report-generator/,https://funnytools.win/workflows/graduate-statistics-report-toolkit/,tool,workflow,zh-TW,statistics,statistics,apa-7-report-generator,,0.868,0.549,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
59,https://funnytools.win/es/guias/anova-formato-apa-7/,https://funnytools.win/es/herramientas/interpretar-resultados-spss/,guide,tool,es,statistics,statistics,,spss-result-interpreter,0.867,0.853,yes,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
60,https://funnytools.win/es/guias/puntuacion-t-interpretacion/,https://funnytools.win/es/herramientas/calculadora-puntuacion-t/,guide,tool,es,statistics,statistics,,t-score-calculator,0.867,0.857,yes,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
61,https://funnytools.win/es/herramientas/comprimir-imagenes/,https://funnytools.win/es/herramientas/convertir-jpg-a-webp/,tool,tool,es,image,image,image-compressor,jpg-to-webp,0.866,0.865,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
62,https://funnytools.win/es/herramientas/convertir-csv-a-json/,https://funnytools.win/es/herramientas/convertir-json-a-csv/,tool,tool,es,text,text,csv-to-json,json-to-csv,0.866,0.865,yes,DIFFERENT,NO,LOW,directional converter inputs/outputs differ
63,https://funnytools.win/guides/classroom-random-picker-guide/,https://funnytools.win/workflows/teacher-classroom-random-toolkit/,guide,workflow,zh-TW,random,random,,,0.866,0.680,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
64,https://funnytools.win/fr/outils/convertir-csv-en-json/,https://funnytools.win/fr/outils/convertir-json-en-csv/,tool,tool,fr,text,text,csv-to-json,json-to-csv,0.865,0.861,yes,DIFFERENT,NO,LOW,directional converter inputs/outputs differ
65,https://funnytools.win/guides/t-score-calculator-guide/,https://funnytools.win/guides/z-score-calculator-guide/,guide,guide,zh-TW,statistics,statistics,,,0.865,0.759,yes,ADJACENT,NO,LOW,related learning topics; answer role may differ
66,https://funnytools.win/guides/z-score-calculator-guide/,https://funnytools.win/tools/t-score-calculator/,guide,tool,zh-TW,statistics,statistics,,t-score-calculator,0.865,0.741,yes,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
67,https://funnytools.win/guides/teacher-exam-weighted-score-guide/,https://funnytools.win/workflows/teacher-exam-score-toolkit/,guide,workflow,zh-TW,statistics,statistics,,,0.864,0.695,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
68,https://funnytools.win/tools/delete-pdf-pages/,https://funnytools.win/tools/pdf-page-reorder/,tool,tool,zh-TW,pdf,pdf,delete-pdf-pages,pdf-page-reorder,0.864,0.733,yes,DIFFERENT,NO,LOW,document operation outcome differs even when source format overlaps
69,https://funnytools.win/tools/grade-average/,https://funnytools.win/tools/teacher-exam-score-converter/,tool,tool,zh-TW,statistics,statistics,grade-average,teacher-exam-score-converter,0.864,0.810,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
70,https://funnytools.win/es/herramientas/recordatorio-descansos/,https://funnytools.win/es/herramientas/temporizador-pomodoro/,tool,tool,es,time,time,break-reminder,pomodoro-timer,0.863,0.866,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
71,https://funnytools.win/guides/t-score-calculator-guide/,https://funnytools.win/workflows/teacher-exam-score-toolkit/,guide,workflow,zh-TW,statistics,statistics,,,0.863,0.752,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
72,https://funnytools.win/tools/bar-chart-maker/,https://funnytools.win/tools/pie-chart-maker/,tool,tool,zh-TW,draw,draw,bar-chart-maker,pie-chart-maker,0.863,0.686,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
73,https://funnytools.win/es/aviso-legal/,https://funnytools.win/es/sobre-funnytools/,other,legal,es,general,general,,,0.862,0.857,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
74,https://funnytools.win/fr/outils/convertir-png-en-jpg/,https://funnytools.win/fr/outils/convertir-webp-en-jpg/,tool,tool,fr,image,image,png-to-jpg,webp-to-jpg,0.862,0.846,yes,DIFFERENT,NO,LOW,directional converter inputs/outputs differ
75,https://funnytools.win/guides/t-score-calculator-guide/,https://funnytools.win/tools/z-score-calculator/,guide,tool,zh-TW,statistics,statistics,,z-score-calculator,0.862,0.804,yes,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
76,https://funnytools.win/en/tools/jpg-to-webp/,https://funnytools.win/en/tools/png-to-jpg/,tool,tool,en,image,image,jpg-to-webp,png-to-jpg,0.861,0.704,yes,DIFFERENT,NO,LOW,directional converter inputs/outputs differ
77,https://funnytools.win/es/categorias/estudio/,https://funnytools.win/es/para/docentes/,category,audience,es,study,teachers,,,0.860,0.824,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
78,https://funnytools.win/es/categorias/imagen/,https://funnytools.win/es/para/disenadores/,category,audience,es,image,designers,,,0.860,0.826,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
79,https://funnytools.win/es/aviso-legal/,https://funnytools.win/es/condiciones-de-uso/,other,legal,es,general,general,,,0.858,0.853,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
80,https://funnytools.win/es/guias/unir-pdf-sin-subir-archivos/,https://funnytools.win/es/herramientas/unir-pdf/,guide,tool,es,pdf,pdf,,merge-pdf,0.857,0.847,yes,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
81,https://funnytools.win/es/contacto/,https://funnytools.win/es/sobre-funnytools/,legal,legal,es,general,general,,,0.856,0.851,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
82,https://funnytools.win/es/flujos/contenido-redes-sociales/,https://funnytools.win/es/para/creadores/,workflow,audience,es,general,creators,,,0.856,0.820,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
83,https://funnytools.win/guides/classroom-random-group-guide/,https://funnytools.win/workflows/teacher-classroom-random-toolkit/,guide,workflow,zh-TW,random,random,,,0.856,0.716,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
84,https://funnytools.win/find-tools/,https://funnytools.win/,other,home,zh-TW,general,general,,,0.853,0.705,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
85,https://funnytools.win/guides/classroom-random-group-guide/,https://funnytools.win/tools/random-group-generator/,guide,tool,zh-TW,random,random,,random-group-generator,0.853,0.728,yes,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
86,https://funnytools.win/tools/normalized-score-converter/,https://funnytools.win/tools/standard-deviation/,tool,tool,zh-TW,statistics,statistics,normalized-score-converter,standard-deviation,0.853,0.651,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
87,https://funnytools.win/es/aviso-legal/,https://funnytools.win/es/contacto/,other,legal,es,general,general,,,0.852,0.847,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
88,https://funnytools.win/fr/outils/minuteur-pomodoro/,https://funnytools.win/fr/outils/rappel-pause-ecran/,tool,tool,fr,time,time,pomodoro-timer,break-reminder,0.852,0.850,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
89,https://funnytools.win/guides/business-days-calendar-days-guide/,https://funnytools.win/tools/business-days/,guide,tool,zh-TW,time,time,,business-days,0.852,0.823,yes,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
90,https://funnytools.win/es/flujos/,https://funnytools.win/es/guias/,hub,hub,es,drawing,general,,,0.851,0.806,no,ADJACENT,UNKNOWN,LOW,shared hierarchy vocabulary does not prove redundant page role
91,https://funnytools.win/guides/classroom-random-group-size-balance-guide/,https://funnytools.win/guides/fair-student-grouping-guide/,guide,guide,zh-TW,random,random,,,0.850,0.776,yes,ADJACENT,NO,LOW,related learning topics; answer role may differ
92,https://funnytools.win/fr/outils/compresser-image/,https://funnytools.win/fr/outils/redimensionner-image/,tool,tool,fr,image,image,image-compressor,image-resizer,0.849,0.843,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
93,https://funnytools.win/guides/classroom-lottery-tool-guide/,https://funnytools.win/guides/classroom-random-picker-guide/,guide,guide,zh-TW,random,random,,,0.848,0.675,yes,ADJACENT,NO,LOW,related learning topics; answer role may differ
94,https://funnytools.win/tools/random-group-generator/,https://funnytools.win/workflows/teacher-classroom-random-toolkit/,tool,workflow,zh-TW,random,random,random-group-generator,,0.848,0.603,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
95,https://funnytools.win/es/guias/contrasena-segura-fuerte/,https://funnytools.win/es/herramientas/generador-contrasenas-seguras/,guide,tool,es,text,random,,password-generator,0.847,0.847,no,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
96,https://funnytools.win/fr/outils/compresser-image/,https://funnytools.win/fr/outils/convertir-png-en-jpg/,tool,tool,fr,image,image,image-compressor,png-to-jpg,0.847,0.847,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
97,https://funnytools.win/fr/outils/convertir-jpg-en-webp/,https://funnytools.win/fr/outils/convertir-webp-en-jpg/,tool,tool,fr,image,image,jpg-to-webp,webp-to-jpg,0.847,0.844,yes,DIFFERENT,NO,LOW,directional converter inputs/outputs differ
98,https://funnytools.win/guides/fair-student-grouping-guide/,https://funnytools.win/tools/group-generator/,guide,tool,zh-TW,random,study,,group-generator,0.847,0.685,no,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
99,https://funnytools.win/guides/fair-student-grouping-guide/,https://funnytools.win/tools/random-group-generator/,guide,tool,zh-TW,random,random,,random-group-generator,0.847,0.694,yes,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
100,https://funnytools.win/guides/split-pdf-page-range-planning-guide/,https://funnytools.win/tools/pdf-page-reorder/,guide,tool,zh-TW,pdf,pdf,,pdf-page-reorder,0.847,0.691,yes,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
101,https://funnytools.win/tools/case-converter/,https://funnytools.win/tools/word-counter/,tool,tool,zh-TW,text,text,case-converter,word-counter,0.847,0.626,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
102,https://funnytools.win/tools/character-counter/,https://funnytools.win/tools/word-counter/,tool,tool,zh-TW,text,text,character-counter,word-counter,0.847,0.689,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
103,https://funnytools.win/tools/image-resizer/,https://funnytools.win/tools/jpg-to-webp/,tool,tool,zh-TW,image,image,image-resizer,jpg-to-webp,0.847,0.637,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
104,https://funnytools.win/en/tools/t-score-calculator/,https://funnytools.win/en/tools/z-score-calculator/,tool,tool,en,statistics,statistics,t-score-calculator,z-score-calculator,0.846,0.713,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
105,https://funnytools.win/guides/classroom-random-group-no-repeat-guide/,https://funnytools.win/guides/fair-student-grouping-guide/,guide,guide,zh-TW,random,random,,,0.846,0.742,yes,ADJACENT,NO,LOW,related learning topics; answer role may differ
106,https://funnytools.win/en/tools/standard-deviation/,https://funnytools.win/en/tools/z-score-calculator/,tool,tool,en,statistics,statistics,standard-deviation,z-score-calculator,0.845,0.674,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
107,https://funnytools.win/es/condiciones-de-uso/,https://funnytools.win/es/sobre-funnytools/,legal,legal,es,general,general,,,0.845,0.842,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
108,https://funnytools.win/es/herramientas/dividir-pdf/,https://funnytools.win/es/herramientas/extraer-paginas-pdf/,tool,tool,es,pdf,pdf,split-pdf,extract-pdf-pages,0.845,0.836,yes,DIFFERENT,NO,LOW,document operation outcome differs even when source format overlaps
109,https://funnytools.win/tools/independent-samples-t-test-calculator/,https://funnytools.win/tools/standard-deviation/,tool,tool,zh-TW,statistics,statistics,independent-samples-t-test-calculator,standard-deviation,0.845,0.658,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
110,https://funnytools.win/tools/pdf-table-to-excel/,https://funnytools.win/tools/pdf-to-word/,tool,tool,zh-TW,pdf,pdf,pdf-table-to-excel,pdf-to-word,0.845,0.728,yes,DIFFERENT,NO,LOW,directional converter inputs/outputs differ
111,https://funnytools.win/fr/fonctionnement-outils/,https://funnytools.win/fr/outils/fusionner-pdf/,legal,tool,fr,general,pdf,,merge-pdf,0.844,0.839,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
112,https://funnytools.win/fr/outils/compresser-image/,https://funnytools.win/fr/outils/convertir-jpg-en-png/,tool,tool,fr,image,image,image-compressor,jpg-to-png,0.844,0.834,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
113,https://funnytools.win/fr/outils/compresser-image/,https://funnytools.win/fr/outils/convertir-jpg-en-webp/,tool,tool,fr,image,image,image-compressor,jpg-to-webp,0.844,0.842,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
114,https://funnytools.win/guides/classroom-random-group-guide/,https://funnytools.win/guides/classroom-random-group-no-repeat-guide/,guide,guide,zh-TW,random,random,,,0.844,0.722,yes,ADJACENT,NO,LOW,related learning topics; answer role may differ
115,https://funnytools.win/fr/confidentialite/,https://funnytools.win/fr/fonctionnement-outils/,legal,legal,fr,general,general,,,0.843,0.846,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
116,https://funnytools.win/tools/pdf-page-reorder/,https://funnytools.win/tools/rotate-pdf/,tool,tool,zh-TW,pdf,pdf,pdf-page-reorder,rotate-pdf,0.843,0.746,yes,DIFFERENT,NO,LOW,document operation outcome differs even when source format overlaps
