tier,rank,url,page_type,locale,value_score,production_status,http_status,canonical_self,indexable,in_sitemap,inbound_links,crawl_depth,title,h1,hreflang_count,structured_data_types,gsc_status,note
Tier 1,13,https://funnytools.win/en/workflows/,hub,en,51,200 live verified,200,yes,yes,yes,193,1,Education Statistics Workflows - FunnyTools,Education Statistics Workflows,4,CollectionPage;BreadcrumbList,UNKNOWN,priority candidate; current GSC index outcome not proven
Tier 1,14,https://funnytools.win/category/money/,category,zh-TW,63,200 live verified,200,yes,yes,yes,15,1,薪資與金錢免費工具｜薪水、貸款、複利試算 - FunnyTools,💰 薪資與金錢免費工具,4,CollectionPage;BreadcrumbList;FAQPage,UNKNOWN,priority candidate; current GSC index outcome not proven
Tier 1,15,https://funnytools.win/fr/outils/,hub,fr,63,200 live verified,200,yes,yes,yes,78,1,Outils en ligne gratuits sans inscription | FunnyTools,Outils en ligne gratuits en français,5,CollectionPage;FAQPage;BreadcrumbList,UNKNOWN,priority candidate; current GSC index outcome not proven
Tier 1,16,https://funnytools.win/category/statistics/,category,zh-TW,62,200 live verified,200,yes,yes,yes,24,1,教育與統計免費工具｜標準差、百分比、平均計算 - FunnyTools,📊 教育與統計免費工具,4,CollectionPage;BreadcrumbList;FAQPage,UNKNOWN,priority candidate; current GSC index outcome not proven
Tier 1,17,https://funnytools.win/category/text/,category,zh-TW,62,200 live verified,200,yes,yes,yes,36,1,文字與寫作免費工具｜字數統計、大小寫、文字清理 - FunnyTools,✍️ 文字與寫作免費工具,4,CollectionPage;BreadcrumbList;FAQPage,UNKNOWN,priority candidate; current GSC index outcome not proven
Tier 1,18,https://funnytools.win/category/time/,category,zh-TW,62,200 live verified,200,yes,yes,yes,29,1,工作與時間免費工具｜番茄鐘、倒數計時、日期計算 - FunnyTools,⏱️ 工作與時間免費工具,4,CollectionPage;BreadcrumbList;FAQPage,UNKNOWN,priority candidate; current GSC index outcome not proven
Tier 1,19,https://funnytools.win/category/draw/,category,zh-TW,61,200 live verified,200,yes,yes,yes,24,1,製圖與圖表免費工具｜2D CAD、流程圖、長條圖、圓餅圖 - FunnyTools,✏️ 製圖與圖表免費工具,4,CollectionPage;BreadcrumbList;FAQPage,UNKNOWN,priority candidate; current GSC index outcome not proven
Tier 1,20,https://funnytools.win/category/image/,category,zh-TW,60,200 live verified,200,yes,yes,yes,34,1,圖片與檔案免費工具｜圖片壓縮、轉檔、尺寸調整 - FunnyTools,🖼️ 圖片與檔案免費工具,4,CollectionPage;BreadcrumbList;FAQPage,Not indexed,priority candidate; current GSC index outcome not proven
Tier 1,21,https://funnytools.win/category/pdf/,category,zh-TW,60,200 live verified,200,yes,yes,yes,34,1,PDF 免費工具｜合併、拆分、旋轉、壓縮 PDF - FunnyTools,📄 PDF 免費工具,4,CollectionPage;BreadcrumbList;FAQPage,Not indexed,priority candidate; current GSC index outcome not proven
Tier 1,22,https://funnytools.win/category/random/,category,zh-TW,59,200 live verified,200,yes,yes,yes,32,1,隨機與抽籤免費工具｜抽號碼、抽名字、分組、轉盤 - FunnyTools,🎲 隨機與抽籤免費工具,4,CollectionPage;BreadcrumbList;FAQPage,Not indexed,priority candidate; current GSC index outcome not proven
Tier 1,23,https://funnytools.win/category/study/,category,zh-TW,59,200 live verified,200,yes,yes,yes,17,1,學生與老師免費工具｜點名、分組、座位表、成績計算 - FunnyTools,🎓 學生與老師免費工具,4,CollectionPage;BreadcrumbList;FAQPage,UNKNOWN,priority candidate; current GSC index outcome not proven
Tier 1,24,https://funnytools.win/es/herramientas/,hub,es,48,200 live verified,200,yes,yes,yes,142,1,Herramientas online gratis y privadas | FunnyTools,Herramientas online gratis en español,5,CollectionPage;FAQPage;BreadcrumbList,UNKNOWN,priority candidate; current GSC index outcome not proven
Tier 1,25,https://funnytools.win/es/flujos/,hub,es,46,200 live verified,200,yes,yes,yes,141,1,Flujos de trabajo con herramientas online | FunnyTools,"Flujos de trabajo para estadística, aula y documentos",4,CollectionPage;FAQPage;BreadcrumbList,UNKNOWN,priority candidate; current GSC index outcome not proven
Tier 1,26,https://funnytools.win/es/guias/,hub,es,46,200 live verified,200,yes,yes,yes,141,1,"Guías de herramientas, estadística y aula | FunnyTools",Guías prácticas de FunnyTools en español,4,CollectionPage;FAQPage;BreadcrumbList,UNKNOWN,priority candidate; current GSC index outcome not proven
Tier 1,27,https://funnytools.win/es/para/,hub,es,46,200 live verified,200,yes,yes,yes,141,1,"Herramientas para docentes, estudiantes y trabajo | FunnyTools",Herramientas según tu tarea y perfil,4,CollectionPage;FAQPage;BreadcrumbList,UNKNOWN,priority candidate; current GSC index outcome not proven
Tier 1,28,https://funnytools.win/en/category/statistics/,category,en,65,200 live verified,200,yes,yes,yes,22,1,Education & Statistics Calculators | Free Tools - FunnyTools,📊 Free Education & Statistics Tools,4,CollectionPage;BreadcrumbList;FAQPage,UNKNOWN,priority candidate; current GSC index outcome not proven
Tier 1,29,https://funnytools.win/en/category/draw/,category,en,64,200 live verified,200,yes,yes,yes,13,1,"Drawing & Chart Tools | CAD, Flowcharts & Charts - FunnyTools",✏️ Free Drawing & Chart Tools,4,CollectionPage;BreadcrumbList;FAQPage,UNKNOWN,priority candidate; current GSC index outcome not proven
Tier 1,30,https://funnytools.win/en/category/money/,category,en,63,200 live verified,200,yes,yes,yes,13,1,Money & Salary Calculators | Free Tools - FunnyTools,💰 Free Money & Salary Tools,4,CollectionPage;BreadcrumbList;FAQPage,UNKNOWN,priority candidate; current GSC index outcome not proven
Tier 1,31,https://funnytools.win/en/category/text/,category,en,63,200 live verified,200,yes,yes,yes,26,1,"Text & Writing Tools | Count, Convert & Clean - FunnyTools",✍️ Free Text & Writing Tools,4,CollectionPage;BreadcrumbList;FAQPage,UNKNOWN,priority candidate; current GSC index outcome not proven
Tier 1,32,https://funnytools.win/en/category/time/,category,en,63,200 live verified,200,yes,yes,yes,18,1,Work & Time Tools | Timers & Date Calculators - FunnyTools,⏱️ Free Work & Time Tools,4,CollectionPage;BreadcrumbList;FAQPage,UNKNOWN,priority candidate; current GSC index outcome not proven
Tier 1,33,https://funnytools.win/en/category/image/,category,en,62,200 live verified,200,yes,yes,yes,23,1,"Image Tools | Compress, Convert & Resize - FunnyTools",🖼️ Free Image & File Tools,4,CollectionPage;BreadcrumbList;FAQPage,UNKNOWN,priority candidate; current GSC index outcome not proven
Tier 1,34,https://funnytools.win/en/category/pdf/,category,en,62,200 live verified,200,yes,yes,yes,24,1,"PDF Tools | Merge, Split, Rotate & Compress - FunnyTools",📄 Free PDF Tools,4,CollectionPage;BreadcrumbList;FAQPage,UNKNOWN,priority candidate; current GSC index outcome not proven
Tier 1,35,https://funnytools.win/en/category/random/,category,en,60,200 live verified,200,yes,yes,yes,21,1,Random Pickers & Generators | Free Tools - FunnyTools,🎲 Free Random & Picker Tools,4,CollectionPage;BreadcrumbList;FAQPage,UNKNOWN,priority candidate; current GSC index outcome not proven
Tier 1,36,https://funnytools.win/en/category/study/,category,en,59,200 live verified,200,yes,yes,yes,15,1,"Student & Teacher Tools | Groups, Grades & Roll Call - FunnyTools",🎓 Free Tools for Students & Teachers,4,CollectionPage;BreadcrumbList;FAQPage,UNKNOWN,priority candidate; current GSC index outcome not proven
Tier 1,37,https://funnytools.win/tools/color-generator/,tool,zh-TW,87,200 live verified,200,yes,yes,yes,15,1,隨機顏色產生器｜HEX RGB HSL 色票工具 - FunnyTools,隨機顏色產生器,5,WebApplication;BreadcrumbList;HowTo;FAQPage,UNKNOWN,priority candidate; current GSC index outcome not proven
Tier 1,38,https://funnytools.win/tools/barcode-generator/,tool,zh-TW,86,200 live verified,200,yes,yes,yes,18,1,條碼產生器｜免費製作 Code 128、EAN-13 與 UPC-A - FunnyTools,條碼產生器,5,WebApplication;BreadcrumbList;HowTo;FAQPage,UNKNOWN,priority candidate; current GSC index outcome not proven
Tier 1,39,https://funnytools.win/tools/cad-2d/,tool,zh-TW,86,200 live verified,200,yes,yes,yes,18,1,簡易 2D CAD 製圖板｜免費線上網格製圖工具 - FunnyTools,簡易 2D CAD 製圖板,5,WebApplication;BreadcrumbList;HowTo;FAQPage,UNKNOWN,priority candidate; current GSC index outcome not proven
Tier 1,40,https://funnytools.win/tools/flowchart/,tool,zh-TW,86,200 live verified,200,yes,yes,yes,21,1,流程圖製作工具｜免費線上流程圖與 PNG 匯出 - FunnyTools,流程圖製作工具,5,WebApplication;BreadcrumbList;HowTo;FAQPage,UNKNOWN,priority candidate; current GSC index outcome not proven
