cluster,url,primary_intent,competing_urls,unique_value,action,confidence
random,https://funnytools.win/en/guides/classroom-random-group-absent-student-repair-guide/,Absent Students After Random Groups: Repair Plan - FunnyTools,https://funnytools.win/en/guides/classroom-random-picker-guide/ (0.604),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-picker-guide/,Classroom Random Picker Guide for Teachers - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-absent-student-repair-guide/ (0.604),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-absent-student-repair-guide/,Absent Students After Random Groups: Repair Plan - FunnyTools,https://funnytools.win/en/guides/fair-student-grouping-guide/ (0.669),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/fair-student-grouping-guide/,Fair Student Grouping Guide for Classrooms - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-absent-student-repair-guide/ (0.669),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-guide/,Classroom Random Group Guide for Teachers - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-materials-handoff-guide/ (0.553),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-materials-handoff-guide/,Group Materials Handoff Checklist - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-guide/ (0.553),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-guide/,Classroom Random Group Guide for Teachers - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-no-repeat-guide/ (0.711),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-no-repeat-guide/,Avoid Repeating Classroom Groups: Pairing Log - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-guide/ (0.711),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-guide/,Classroom Random Group Guide for Teachers - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-seat-transition-guide/ (0.625),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-seat-transition-guide/,Smooth Seat Transition After Random Groups - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-guide/ (0.625),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-guide/,Classroom Random Group Guide for Teachers - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-shareable-result-guide/ (0.628),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-shareable-result-guide/,How to Share Random Group Results in Class - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-guide/ (0.628),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-guide/,Classroom Random Group Guide for Teachers - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-size-balance-guide/ (0.661),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-size-balance-guide/,Random Classroom Groups: Balance Group Sizes - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-guide/ (0.661),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-guide/,Classroom Random Group Guide for Teachers - FunnyTools,https://funnytools.win/en/guides/classroom-random-picker-guide/ (0.689),requires human comparison of answer intent,REVIEW_ONLY,high
random,https://funnytools.win/en/guides/classroom-random-picker-guide/,Classroom Random Picker Guide for Teachers - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-guide/ (0.689),requires human comparison of answer intent,REVIEW_ONLY,high
random,https://funnytools.win/en/guides/classroom-random-group-guide/,Classroom Random Group Guide for Teachers - FunnyTools,https://funnytools.win/en/guides/classroom-timer-guide/ (0.630),requires human comparison of answer intent,REVIEW_ONLY,medium
time,https://funnytools.win/en/guides/classroom-timer-guide/,Classroom Timer Guide for Teachers - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-guide/ (0.630),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-guide/,Classroom Random Group Guide for Teachers - FunnyTools,https://funnytools.win/en/guides/fair-student-grouping-guide/ (0.810),requires human comparison of answer intent,REVIEW_ONLY,high
random,https://funnytools.win/en/guides/fair-student-grouping-guide/,Fair Student Grouping Guide for Classrooms - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-guide/ (0.810),requires human comparison of answer intent,REVIEW_ONLY,high
random,https://funnytools.win/en/guides/classroom-random-group-materials-handoff-guide/,Group Materials Handoff Checklist - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-no-repeat-guide/ (0.624),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-no-repeat-guide/,Avoid Repeating Classroom Groups: Pairing Log - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-materials-handoff-guide/ (0.624),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-materials-handoff-guide/,Group Materials Handoff Checklist - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-seat-transition-guide/ (0.698),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-seat-transition-guide/,Smooth Seat Transition After Random Groups - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-materials-handoff-guide/ (0.698),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-materials-handoff-guide/,Group Materials Handoff Checklist - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-shareable-result-guide/ (0.663),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-shareable-result-guide/,How to Share Random Group Results in Class - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-materials-handoff-guide/ (0.663),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-materials-handoff-guide/,Group Materials Handoff Checklist - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-size-balance-guide/ (0.680),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-size-balance-guide/,Random Classroom Groups: Balance Group Sizes - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-materials-handoff-guide/ (0.680),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-materials-handoff-guide/,Group Materials Handoff Checklist - FunnyTools,https://funnytools.win/en/guides/fair-student-grouping-guide/ (0.561),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/fair-student-grouping-guide/,Fair Student Grouping Guide for Classrooms - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-materials-handoff-guide/ (0.561),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-no-repeat-guide/,Avoid Repeating Classroom Groups: Pairing Log - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-seat-transition-guide/ (0.657),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-seat-transition-guide/,Smooth Seat Transition After Random Groups - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-no-repeat-guide/ (0.657),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-no-repeat-guide/,Avoid Repeating Classroom Groups: Pairing Log - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-shareable-result-guide/ (0.696),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-shareable-result-guide/,How to Share Random Group Results in Class - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-no-repeat-guide/ (0.696),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-no-repeat-guide/,Avoid Repeating Classroom Groups: Pairing Log - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-size-balance-guide/ (0.727),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-size-balance-guide/,Random Classroom Groups: Balance Group Sizes - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-no-repeat-guide/ (0.727),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-no-repeat-guide/,Avoid Repeating Classroom Groups: Pairing Log - FunnyTools,https://funnytools.win/en/guides/classroom-random-picker-guide/ (0.632),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-picker-guide/,Classroom Random Picker Guide for Teachers - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-no-repeat-guide/ (0.632),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-no-repeat-guide/,Avoid Repeating Classroom Groups: Pairing Log - FunnyTools,https://funnytools.win/en/guides/fair-student-grouping-guide/ (0.704),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/fair-student-grouping-guide/,Fair Student Grouping Guide for Classrooms - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-no-repeat-guide/ (0.704),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-seat-transition-guide/,Smooth Seat Transition After Random Groups - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-shareable-result-guide/ (0.710),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-shareable-result-guide/,How to Share Random Group Results in Class - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-seat-transition-guide/ (0.710),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-seat-transition-guide/,Smooth Seat Transition After Random Groups - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-size-balance-guide/ (0.710),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-size-balance-guide/,Random Classroom Groups: Balance Group Sizes - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-seat-transition-guide/ (0.710),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-seat-transition-guide/,Smooth Seat Transition After Random Groups - FunnyTools,https://funnytools.win/en/guides/classroom-random-picker-guide/ (0.569),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-picker-guide/,Classroom Random Picker Guide for Teachers - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-seat-transition-guide/ (0.569),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-seat-transition-guide/,Smooth Seat Transition After Random Groups - FunnyTools,https://funnytools.win/en/guides/fair-student-grouping-guide/ (0.612),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/fair-student-grouping-guide/,Fair Student Grouping Guide for Classrooms - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-seat-transition-guide/ (0.612),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-shareable-result-guide/,How to Share Random Group Results in Class - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-size-balance-guide/ (0.747),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-size-balance-guide/,Random Classroom Groups: Balance Group Sizes - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-shareable-result-guide/ (0.747),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-shareable-result-guide/,How to Share Random Group Results in Class - FunnyTools,https://funnytools.win/en/guides/classroom-random-picker-guide/ (0.633),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-picker-guide/,Classroom Random Picker Guide for Teachers - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-shareable-result-guide/ (0.633),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-shareable-result-guide/,How to Share Random Group Results in Class - FunnyTools,https://funnytools.win/en/guides/fair-student-grouping-guide/ (0.637),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/fair-student-grouping-guide/,Fair Student Grouping Guide for Classrooms - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-shareable-result-guide/ (0.637),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-size-balance-guide/,Random Classroom Groups: Balance Group Sizes - FunnyTools,https://funnytools.win/en/guides/classroom-random-picker-guide/ (0.634),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-picker-guide/,Classroom Random Picker Guide for Teachers - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-size-balance-guide/ (0.634),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-group-size-balance-guide/,Random Classroom Groups: Balance Group Sizes - FunnyTools,https://funnytools.win/en/guides/fair-student-grouping-guide/ (0.681),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/fair-student-grouping-guide/,Fair Student Grouping Guide for Classrooms - FunnyTools,https://funnytools.win/en/guides/classroom-random-group-size-balance-guide/ (0.681),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-picker-guide/,Classroom Random Picker Guide for Teachers - FunnyTools,https://funnytools.win/en/guides/classroom-timer-guide/ (0.689),requires human comparison of answer intent,REVIEW_ONLY,medium
time,https://funnytools.win/en/guides/classroom-timer-guide/,Classroom Timer Guide for Teachers - FunnyTools,https://funnytools.win/en/guides/classroom-random-picker-guide/ (0.689),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/classroom-random-picker-guide/,Classroom Random Picker Guide for Teachers - FunnyTools,https://funnytools.win/en/guides/fair-student-grouping-guide/ (0.627),requires human comparison of answer intent,REVIEW_ONLY,medium
random,https://funnytools.win/en/guides/fair-student-grouping-guide/,Fair Student Grouping Guide for Classrooms - FunnyTools,https://funnytools.win/en/guides/classroom-random-picker-guide/ (0.627),requires human comparison of answer intent,REVIEW_ONLY,medium
text,https://funnytools.win/en/guides/csv-to-json-header-duplicate-column-guide/,CSV-to-JSON Misaligned? Check Headers First - FunnyTools,https://funnytools.win/en/guides/json-formatter-trailing-comma-error-guide/ (0.663),requires human comparison of answer intent,REVIEW_ONLY,medium
text,https://funnytools.win/en/guides/json-formatter-trailing-comma-error-guide/,JSON Parse Error: Find Trailing Commas - FunnyTools,https://funnytools.win/en/guides/csv-to-json-header-duplicate-column-guide/ (0.663),requires human comparison of answer intent,REVIEW_ONLY,medium
image,https://funnytools.win/en/guides/image-color-profile-web-print-guide/,"sRGB, Adobe RGB, or CMYK: Image Color Profile Guide - FunnyTools",https://funnytools.win/en/guides/image-compression-quality-size-guide/ (0.635),requires human comparison of answer intent,REVIEW_ONLY,medium
image,https://funnytools.win/en/guides/image-compression-quality-size-guide/,Image Compression: Size vs Clarity - FunnyTools,https://funnytools.win/en/guides/image-color-profile-web-print-guide/ (0.635),requires human comparison of answer intent,REVIEW_ONLY,medium
image,https://funnytools.win/en/guides/image-color-profile-web-print-guide/,"sRGB, Adobe RGB, or CMYK: Image Color Profile Guide - FunnyTools",https://funnytools.win/en/guides/image-compressor-metadata-privacy-guide/ (0.595),requires human comparison of answer intent,REVIEW_ONLY,medium
image,https://funnytools.win/en/guides/image-compressor-metadata-privacy-guide/,Image Compression and Metadata Privacy Check - FunnyTools,https://funnytools.win/en/guides/image-color-profile-web-print-guide/ (0.595),requires human comparison of answer intent,REVIEW_ONLY,medium
